player,year,team,round
"Brown, Luke",2012,adelaide,R16
"Brown, Luke",2012,adelaide,R21
"Brown, Luke",2012,adelaide,R22
"Callinan, Ian",2012,adelaide,R1
"Callinan, Ian",2012,adelaide,R2
"Callinan, Ian",2012,adelaide,R3
"Callinan, Ian",2012,adelaide,R5
"Callinan, Ian",2012,adelaide,R6
"Callinan, Ian",2012,adelaide,R7
"Callinan, Ian",2012,adelaide,R8
"Callinan, Ian",2012,adelaide,R9
"Callinan, Ian",2012,adelaide,R10
"Callinan, Ian",2012,adelaide,R12
"Callinan, Ian",2012,adelaide,R13
"Callinan, Ian",2012,adelaide,R14
"Callinan, Ian",2012,adelaide,R16
"Callinan, Ian",2012,adelaide,R17
"Callinan, Ian",2012,adelaide,R18
"Callinan, Ian",2012,adelaide,R19
"Callinan, Ian",2012,adelaide,R20
"Callinan, Ian",2012,adelaide,R21
"Callinan, Ian",2012,adelaide,R22
"Callinan, Ian",2012,adelaide,R23
"Callinan, Ian",2012,adelaide,QF
"Callinan, Ian",2012,adelaide,SF
"Callinan, Ian",2012,adelaide,PF
"Dangerfield, Patrick",2012,adelaide,R1
"Dangerfield, Patrick",2012,adelaide,R2
"Dangerfield, Patrick",2012,adelaide,R3
"Dangerfield, Patrick",2012,adelaide,R4
"Dangerfield, Patrick",2012,adelaide,R5
"Dangerfield, Patrick",2012,adelaide,R6
"Dangerfield, Patrick",2012,adelaide,R7
"Dangerfield, Patrick",2012,adelaide,R8
"Dangerfield, Patrick",2012,adelaide,R9
"Dangerfield, Patrick",2012,adelaide,R10
"Dangerfield, Patrick",2012,adelaide,R12
"Dangerfield, Patrick",2012,adelaide,R13
"Dangerfield, Patrick",2012,adelaide,R14
"Dangerfield, Patrick",2012,adelaide,R15
"Dangerfield, Patrick",2012,adelaide,R16
"Dangerfield, Patrick",2012,adelaide,R17
"Dangerfield, Patrick",2012,adelaide,R18
"Dangerfield, Patrick",2012,adelaide,R19
"Dangerfield, Patrick",2012,adelaide,R20
"Dangerfield, Patrick",2012,adelaide,R21
"Dangerfield, Patrick",2012,adelaide,R22
"Dangerfield, Patrick",2012,adelaide,R23
"Dangerfield, Patrick",2012,adelaide,QF
"Dangerfield, Patrick",2012,adelaide,SF
"Dangerfield, Patrick",2012,adelaide,PF
