hometeam_awayteam,year,round,match_score
gws_swans,2012,R1,-63.0
richmond_carlton,2012,R1,-44.0
hawthorn_collingwood,2012,R1,22.0
melbourne_brisbanel,2012,R1,-41.0
goldcoast_adelaide,2012,R1,-69.0
fremantle_geelong,2012,R1,4.0
kangaroos_essendon,2012,R1,-2.0
bullldogs_westcoast,2012,R1,-49.0
padelaide_stkilda,2012,R1,4.0
brisbanel_carlton,2012,R2,-91.0
essendon_padelaide,2012,R2,25.0
swans_fremantle,2012,R2,13.0
westcoast_melbourne,2012,R2,108.0
adelaide_bullldogs,2012,R2,18.0
collingwood_richmond,2012,R2,21.0
kangaroos_gws,2012,R2,129.0
stkilda_goldcoast,2012,R2,92.0
geelong_hawthorn,2012,R2,2.0
carlton_collingwood,2012,R3,60.0
richmond_melbourne,2012,R3,59.0
padelaide_swans,2012,R3,-22.0
fremantle_brisbanel,2012,R3,29.0
goldcoast_essendon,2012,R3,-17.0
bullldogs_stkilda,2012,R3,-63.0
gws_westcoast,2012,R3,-81.0
hawthorn_adelaide,2012,R3,56.0
kangaroos_geelong,2012,R3,17.0
stkilda_fremantle,2012,R4,-13.0
carlton_essendon,2012,R4,-30.0
collingwood_padelaide,2012,R4,24.0
adelaide_gws,2012,R4,46.0
westcoast_hawthorn,2012,R4,5.0
brisbanel_goldcoast,2012,R4,65.0
geelong_richmond,2012,R4,10.0
swans_kangaroos,2012,R4,36.0
melbourne_bullldogs,2012,R4,-21.0
collingwood_essendon,2012,R5,1.0
fremantle_carlton,2012,R5,-8.0
gws_bullldogs,2012,R5,-42.0
kangaroos_goldcoast,2012,R5,34.0
melbourne_stkilda,2012,R5,-18.0
brisbanel_geelong,2012,R5,-38.0
hawthorn_swans,2012,R5,-37.0
richmond_westcoast,2012,R5,-10.0
adelaide_padelaide,2012,R5,19.0
bullldogs_collingwood,2012,R6,-21.0
essendon_brisbanel,2012,R6,67.0
geelong_melbourne,2012,R6,43.0
goldcoast_fremantle,2012,R6,-7.0
swans_adelaide,2012,R6,-5.0
stkilda_hawthorn,2012,R6,-35.0
carlton_gws,2012,R6,67.0
padelaide_richmond,2012,R6,-37.0
westcoast_kangaroos,2012,R6,25.0
melbourne_hawthorn,2012,R7,-66.0
adelaide_geelong,2012,R7,50.0
gws_goldcoast,2012,R7,27.0
richmond_swans,2012,R7,29.0
brisbanel_collingwood,2012,R7,-58.0
essendon_westcoast,2012,R7,61.0
kangaroos_bullldogs,2012,R7,-18.0
fremantle_padelaide,2012,R7,40.0
stkilda_carlton,2012,R7,24.0
collingwood_geelong,2012,R8,12.0
padelaide_kangaroos,2012,R8,2.0
hawthorn_fremantle,2012,R8,56.0
swans_melbourne,2012,R8,101.0
bullldogs_goldcoast,2012,R8,38.0
essendon_richmond,2012,R8,19.0
brisbanel_gws,2012,R8,92.0
carlton_adelaide,2012,R8,-69.0
westcoast_stkilda,2012,R8,30.0
bullldogs_geelong,2012,R9,-20.0
richmond_hawthorn,2012,R9,62.0
goldcoast_padelaide,2012,R9,-48.0
stkilda_swans,2012,R9,28.0
adelaide_collingwood,2012,R9,-26.0
gws_essendon,2012,R9,-66.0
kangaroos_brisbanel,2012,R9,16.0
carlton_melbourne,2012,R9,58.0
westcoast_fremantle,2012,R9,48.0
stkilda_richmond,2012,R10,-8.0
geelong_gws,2012,R10,65.0
hawthorn_kangaroos,2012,R10,115.0
fremantle_adelaide,2012,R10,-29.0
padelaide_carlton,2012,R10,54.0
essendon_melbourne,2012,R10,-6.0
brisbanel_westcoast,2012,R10,2.0
swans_bullldogs,2012,R10,92.0
collingwood_goldcoast,2012,R10,97.0
carlton_geelong,2012,R11,-12.0
richmond_fremantle,2012,R11,-12.0
goldcoast_stkilda,2012,R11,-95.0
essendon_swans,2012,R11,-4.0
padelaide_hawthorn,2012,R11,-46.0
melbourne_collingwood,2012,R11,-42.0
westcoast_carlton,2012,R12,10.0
adelaide_stkilda,2012,R12,4.0
gws_richmond,2012,R12,-12.0
goldcoast_kangaroos,2012,R12,-7.0
hawthorn_brisbanel,2012,R12,65.0
bullldogs_padelaide,2012,R12,38.0
swans_geelong,2012,R13,6.0
bullldogs_brisbanel,2012,R13,-58.0
collingwood_westcoast,2012,R13,3.0
fremantle_essendon,2012,R13,-24.0
melbourne_gws,2012,R13,78.0
kangaroos_adelaide,2012,R13,32.0
carlton_hawthorn,2012,R14,-50.0
collingwood_fremantle,2012,R14,29.0
adelaide_richmond,2012,R14,19.0
westcoast_goldcoast,2012,R14,126.0
essendon_bullldogs,2012,R14,84.0
swans_gws,2012,R14,94.0
geelong_padelaide,2012,R14,38.0
brisbanel_melbourne,2012,R14,61.0
stkilda_kangaroos,2012,R14,-33.0
collingwood_carlton,2012,R15,-23.0
kangaroos_westcoast,2012,R15,-2.0
melbourne_richmond,2012,R15,-23.0
swans_brisbanel,2012,R15,47.0
padelaide_adelaide,2012,R15,-58.0
stkilda_essendon,2012,R15,71.0
hawthorn_gws,2012,R15,162.0
goldcoast_geelong,2012,R15,-14.0
fremantle_bullldogs,2012,R15,38.0
kangaroos_carlton,2012,R16,53.0
melbourne_fremantle,2012,R16,-34.0
padelaide_essendon,2012,R16,-50.0
richmond_goldcoast,2012,R16,-2.0
geelong_collingwood,2012,R16,-31.0
brisbanel_stkilda,2012,R16,-13.0
gws_adelaide,2012,R16,-119.0
bullldogs_hawthorn,2012,R16,-72.0
westcoast_swans,2012,R16,-52.0
geelong_essendon,2012,R17,67.0
collingwood_hawthorn,2012,R17,-47.0
adelaide_westcoast,2012,R17,49.0
goldcoast_brisbanel,2012,R17,-11.0
melbourne_padelaide,2012,R17,-28.0
bullldogs_carlton,2012,R17,-18.0
swans_stkilda,2012,R17,29.0
richmond_kangaroos,2012,R17,-4.0
fremantle_gws,2012,R17,95.0
essendon_hawthorn,2012,R18,-94.0
geelong_adelaide,2012,R18,27.0
kangaroos_melbourne,2012,R18,54.0
gws_collingwood,2012,R18,-120.0
carlton_richmond,2012,R18,4.0
goldcoast_swans,2012,R18,-72.0
padelaide_fremantle,2012,R18,-27.0
stkilda_bullldogs,2012,R18,76.0
westcoast_brisbanel,2012,R18,98.0
hawthorn_geelong,2012,R19,-2.0
bullldogs_kangaroos,2012,R19,-54.0
gws_padelaide,2012,R19,34.0
fremantle_westcoast,2012,R19,65.0
collingwood_stkilda,2012,R19,6.0
brisbanel_richmond,2012,R19,-48.0
melbourne_goldcoast,2012,R19,42.0
carlton_swans,2012,R19,-22.0
adelaide_essendon,2012,R19,4.0
westcoast_geelong,2012,R20,5.0
stkilda_melbourne,2012,R20,25.0
adelaide_fremantle,2012,R20,28.0
goldcoast_gws,2012,R20,30.0
carlton_brisbanel,2012,R20,36.0
swans_collingwood,2012,R20,-8.0
hawthorn_padelaide,2012,R20,72.0
richmond_bullldogs,2012,R20,70.0
essendon_kangaroos,2012,R20,-24.0
geelong_stkilda,2012,R21,42.0
essendon_carlton,2012,R21,-96.0
gws_melbourne,2012,R21,-25.0
fremantle_richmond,2012,R21,22.0
brisbanel_adelaide,2012,R21,10.0
collingwood_kangaroos,2012,R21,-30.0
padelaide_westcoast,2012,R21,-48.0
bullldogs_swans,2012,R21,-82.0
hawthorn_goldcoast,2012,R21,64.0
richmond_essendon,2012,R22,45.0
stkilda_gws,2012,R22,128.0
padelaide_brisbanel,2012,R22,-11.0
swans_hawthorn,2012,R22,-7.0
westcoast_collingwood,2012,R22,49.0
goldcoast_carlton,2012,R22,12.0
geelong_bullldogs,2012,R22,34.0
kangaroos_fremantle,2012,R22,-53.0
melbourne_adelaide,2012,R22,-69.0
hawthorn_westcoast,2012,R23,25.0
geelong_swans,2012,R23,34.0
adelaide_goldcoast,2012,R23,91.0
gws_kangaroos,2012,R23,-28.0
fremantle_melbourne,2012,R23,61.0
essendon_collingwood,2012,R23,-32.0
carlton_stkilda,2012,R23,-15.0
richmond_padelaide,2012,R23,0.0
gws_swans,2012,R1,-63.0
richmond_carlton,2012,R1,-44.0
hawthorn_collingwood,2012,R1,22.0
melbourne_brisbanel,2012,R1,-41.0
goldcoast_adelaide,2012,R1,-69.0
fremantle_geelong,2012,R1,4.0
kangaroos_essendon,2012,R1,-2.0
bullldogs_westcoast,2012,R1,-49.0
padelaide_stkilda,2012,R1,4.0
brisbanel_carlton,2012,R2,-91.0
essendon_padelaide,2012,R2,25.0
swans_fremantle,2012,R2,13.0
westcoast_melbourne,2012,R2,108.0
adelaide_bullldogs,2012,R2,18.0
collingwood_richmond,2012,R2,21.0
kangaroos_gws,2012,R2,129.0
stkilda_goldcoast,2012,R2,92.0
geelong_hawthorn,2012,R2,2.0
carlton_collingwood,2012,R3,60.0
richmond_melbourne,2012,R3,59.0
padelaide_swans,2012,R3,-22.0
fremantle_brisbanel,2012,R3,29.0
goldcoast_essendon,2012,R3,-17.0
bullldogs_stkilda,2012,R3,-63.0
gws_westcoast,2012,R3,-81.0
hawthorn_adelaide,2012,R3,56.0
kangaroos_geelong,2012,R3,17.0
stkilda_fremantle,2012,R4,-13.0
carlton_essendon,2012,R4,-30.0
collingwood_padelaide,2012,R4,24.0
adelaide_gws,2012,R4,46.0
westcoast_hawthorn,2012,R4,5.0
brisbanel_goldcoast,2012,R4,65.0
geelong_richmond,2012,R4,10.0
swans_kangaroos,2012,R4,36.0
melbourne_bullldogs,2012,R4,-21.0
collingwood_essendon,2012,R5,1.0
fremantle_carlton,2012,R5,-8.0
gws_bullldogs,2012,R5,-42.0
kangaroos_goldcoast,2012,R5,34.0
melbourne_stkilda,2012,R5,-18.0
brisbanel_geelong,2012,R5,-38.0
hawthorn_swans,2012,R5,-37.0
richmond_westcoast,2012,R5,-10.0
adelaide_padelaide,2012,R5,19.0
bullldogs_collingwood,2012,R6,-21.0
essendon_brisbanel,2012,R6,67.0
geelong_melbourne,2012,R6,43.0
goldcoast_fremantle,2012,R6,-7.0
swans_adelaide,2012,R6,-5.0
stkilda_hawthorn,2012,R6,-35.0
carlton_gws,2012,R6,67.0
padelaide_richmond,2012,R6,-37.0
westcoast_kangaroos,2012,R6,25.0
melbourne_hawthorn,2012,R7,-66.0
adelaide_geelong,2012,R7,50.0
gws_goldcoast,2012,R7,27.0
richmond_swans,2012,R7,29.0
brisbanel_collingwood,2012,R7,-58.0
essendon_westcoast,2012,R7,61.0
kangaroos_bullldogs,2012,R7,-18.0
fremantle_padelaide,2012,R7,40.0
stkilda_carlton,2012,R7,24.0
collingwood_geelong,2012,R8,12.0
padelaide_kangaroos,2012,R8,2.0
hawthorn_fremantle,2012,R8,56.0
swans_melbourne,2012,R8,101.0
