team,year,round,score,home_away
gws,2012,R1,37.0,Home
swans,2012,R1,100.0,Away
richmond,2012,R1,81.0,Home
carlton,2012,R1,125.0,Away
hawthorn,2012,R1,137.0,Home
collingwood,2012,R1,115.0,Away
melbourne,2012,R1,78.0,Home
brisbanel,2012,R1,119.0,Away
goldcoast,2012,R1,68.0,Home
adelaide,2012,R1,137.0,Away
fremantle,2012,R1,105.0,Home
geelong,2012,R1,101.0,Away
kangaroos,2012,R1,102.0,Home
essendon,2012,R1,104.0,Away
bullldogs,2012,R1,87.0,Home
westcoast,2012,R1,136.0,Away
padelaide,2012,R1,89.0,Home
stkilda,2012,R1,85.0,Away
brisbanel,2012,R2,63.0,Home
carlton,2012,R2,154.0,Away
essendon,2012,R2,111.0,Home
padelaide,2012,R2,86.0,Away
swans,2012,R2,94.0,Home
fremantle,2012,R2,81.0,Away
westcoast,2012,R2,166.0,Home
melbourne,2012,R2,58.0,Away
adelaide,2012,R2,82.0,Home
bullldogs,2012,R2,64.0,Away
collingwood,2012,R2,85.0,Home
richmond,2012,R2,64.0,Away
kangaroos,2012,R2,183.0,Home
gws,2012,R2,54.0,Away
stkilda,2012,R2,139.0,Home
goldcoast,2012,R2,47.0,Away
geelong,2012,R2,92.0,Home
hawthorn,2012,R2,90.0,Away
carlton,2012,R3,122.0,Home
collingwood,2012,R3,62.0,Away
richmond,2012,R3,133.0,Home
melbourne,2012,R3,74.0,Away
padelaide,2012,R3,83.0,Home
swans,2012,R3,105.0,Away
fremantle,2012,R3,64.0,Home
brisbanel,2012,R3,35.0,Away
goldcoast,2012,R3,88.0,Home
essendon,2012,R3,105.0,Away
bullldogs,2012,R3,40.0,Home
stkilda,2012,R3,103.0,Away
gws,2012,R3,69.0,Home
westcoast,2012,R3,150.0,Away
hawthorn,2012,R3,140.0,Home
adelaide,2012,R3,84.0,Away
kangaroos,2012,R3,131.0,Home
geelong,2012,R3,114.0,Away
stkilda,2012,R4,79.0,Home
fremantle,2012,R4,92.0,Away
carlton,2012,R4,79.0,Home
essendon,2012,R4,109.0,Away
collingwood,2012,R4,97.0,Home
padelaide,2012,R4,73.0,Away
adelaide,2012,R4,96.0,Home
gws,2012,R4,50.0,Away
westcoast,2012,R4,51.0,Home
hawthorn,2012,R4,46.0,Away
brisbanel,2012,R4,111.0,Home
goldcoast,2012,R4,46.0,Away
geelong,2012,R4,75.0,Home
